,【结束关卡】
■■,不是说好不会忘记吗？那么重要的事情，为什么丢下我一个人？
谛听,嘶……脑袋好痛。
狐婆婆,待在「临界」太久，你也会被「邪祟」侵蚀，如果不像变成和他们一样永眠的尸体，想办法迅速找到「核」并将其拔除。
谛听,（拿出纯币）
谛听,奶奶，这是什么东西？我怎么感觉，上面附带着特殊的东西。
狐婆婆,这是源自人们内心至美之物的「纯币」，蕴含着人们不愿忘却的美好回忆。
狐婆婆,记得收集并保存好，它将是你对抗「邪祟」的关键力量。
■■,我们会一直在一起，永远也不分开……
谛听,……
谛听,奶奶，刚刚的「临界」，到底发生了什么？
狐婆婆,应试压力、校园霸凌，因为不知道怎么应付这些，所以干脆选择了逃避。
狐婆婆,现在的年轻人真软弱，我们那时候，只要有阳光和氧气，扒拉着鞭毛喝几口水就很满足啦！
谛听,不，他一定很痛苦吧，只是因为我们成长之后，假装忘记了那些伤痛。
谛听,毕竟我们总是天真地对未来抱有不切实际的希望，但实际上……
谛听,幸福总是遥不可及。
,【柜台上的黑色乌鸦啼叫了三次】
狐婆婆,动起来，孩子，又有倒霉蛋掉进「临界」了。
狐婆婆,记得带上你的「狐千面」，「他者」同样遥不可及，只有「自我」才被允许进入「私之界」。
谛听,啊……身体好痛，感觉要裂成两半了。
,【进入镜面关卡】
